l10n_br_fiscal akretion/16.0-mig-l10n_br_fiscal
l10n_br_account akretion/15.0-mig-l10n_br_account
l10n_br_account_due_list origin/16.0
l10n_br_account_payment_order origin/14.0
l10n_br_base origin/16.0
l10n_br_cnab_structure origin/14.0
l10n_br_coa origin/16.0
l10n_br_coa_generic origin/16.0
l10n_br_contract kmee/16.0-mig-l10n_br_contract
l10n_br_crm origin/16.0
l10n_br_fiscal_certificate origin/14.0
l10n_br_fiscal_closing origin/14.0
l10n_br_hr Escodoo/15.0-mig-l10n_br_hr
l10n_br_mis_report origin/14.0
l10n_br_nfse kmee/16.0-mig-l10n_br_nfse
l10n_br_nfse_paulistana origin/14.0
l10n_br_portal kmee/16.0-mig-l10n_br_portal
l10n_br_purchase akretion/15.0-mig-l10n_br_purchase
l10n_br_resource origin/16.0
l10n_br_sale akretion/15.0-mig-l10n_br_sale
l10n_br_zip origin/16.0
l10n_br_fiscal_certificate oca/16.0
l10n_br_hr Escodoo/16.0-mig-l10n_br_hr
l10n_br_account_payment_order kmee/16.0-mig-l10n_br_account_payment_order
