"id","invoice_label","name","description","amount","type_tax_use","price_include","deductible","tax_group_id"
"tax_template_out_ipi","ipi","ipi saída","ipi saída","0.00","sale","0","0","tax_group_ipi"
"tax_template_in_ipi","ipi","ipi entrada","ipi entrada","0.00","purchase","0","0","tax_group_ipi"
"tax_template_in_ipi_deductible","ipi","ipi entrada dedutível","ipi entrada dedutível","0.00","purchase","0","1","tax_group_ipi"
"tax_template_out_ipi_deductible","ipi","ipi saida dedutível","ipi saida dedutível","0.00","sale","0","1","tax_group_ipi"
"tax_template_out_ii","ii","ii saída","ii saída","0.00","sale","0","0","tax_group_ii"
"tax_template_in_ii","ii","ii entrada","ii entrada","0.00","purchase","0","0","tax_group_ii"
"tax_template_ii_in_deductible","ii","ii entrada dedutível","ii entrada dedutível","0.00","purchase","0","1","tax_group_ii"
"tax_template_ii_out_deductible","ii","ii saida dedutível","ii saida dedutível","0.00","sale","0","1","tax_group_ii"
"tax_template_out_icms","icms","icms saida","icms saida","0.00","sale","0","0","tax_group_icms"
"tax_template_in_icms","icms","icms entrada","icms entrada","0.00","purchase","0","0","tax_group_icms"
"tax_template_icms_in_deductible","icms","icms entrada dedutível","icms entrada dedutível","0.00","purchase","0","1","tax_group_icms"
"tax_template_icms_out_deductible","icms","icms saida dedutível","icms saida dedutível","0.00","sale","0","1","tax_group_icms"
"tax_template_out_icmssn","icms sn","icms sn saida","icms sn saida","0.00","sale","0","0","tax_group_icmssn"
"tax_template_in_icmssn","icms sn","icms sn entrada","icms sn entrada","0.00","purchase","0","0","tax_group_icmssn"
"tax_template_out_icms_subist","icms subist","icms saida subist","icms saida subist","0.00","sale","0","0","tax_group_icmsst"
"tax_template_in_icms_subist","icms subist","icms entrada subist","icms entrada subist","0.00","purchase","0","0","tax_group_icmsst"
"tax_template_out_icmsfcp","icms fcp","icms saida fcp","icms saida fcp","0.00","sale","0","0","tax_group_icmsfcp"
"tax_template_in_icmsfcp","icms fcp","icms entrada fcp","icms entrada fcp","0.00","purchase","0","0","tax_group_icmsfcp"
"tax_template_out_pis","pis","pis saida","pis saida","0.00","sale","0","0","tax_group_pis"
"tax_template_out_pisst","pis st","pis st saida","pis st saida","0.00","sale","0","0","tax_group_pisst"
"tax_template_out_pis_wh","pis wh","pis wh saida","pis wh saida","0.00","sale","0","0","tax_group_pis_wh"
"tax_template_in_pis","pis","pis entrada","pis entrada","0.00","purchase","0","0","tax_group_pis"
"tax_template_in_pisst","pis st","pis st entrada","pis st entrada","0.00","purchase","0","0","tax_group_pisst"
"tax_template_in_pis_wh","pis wh","pis wh entrada","pis wh entrada","0.00","purchase","0","0","tax_group_pis_wh"
"tax_template_in_pis_deductible","pis","pis entrada dedutível","pis entrada dedutível","0.00","purchase","0","1","tax_group_pis"
"tax_template_out_pis_deductible","pis","pis saida dedutível","pis saida dedutível","0.00","sale","0","1","tax_group_pis"
"tax_template_out_cofins","cofins","cofins saida","cofins saida","0.00","sale","0","0","tax_group_cofins"
"tax_template_out_cofinsst","cofins st","cofins st saida","cofins st saida","0.00","sale","0","0","tax_group_cofinsst"
"tax_template_out_cofins_wh","cofins wh","cofins wh saida","cofins wh saida","0.00","sale","0","0","tax_group_cofinsst"
"tax_template_in_cofins","cofins","cofins entrada","cofins entrada","0.00","purchase","0","0","tax_group_cofins"
"tax_template_in_cofinsst","cofins st","cofins st entrada","cofins st entrada","0.00","purchase","0","0","ax_group_cofinsst"
