id,code,name,note,user_type_id:id,reconcile,chart_template_id:id
account_template_ans_121119011,121119011,Caixa,,account.data_account_type_liquidity,1,l10n_br_coa_ans_chart_template
account_template_ans_121219011,121219011,Numerário em trânsito,,account.data_account_type_liquidity,,l10n_br_coa_ans_chart_template
account_template_ans_121319011,121319011,Bancos Conta Movimento,,account.data_account_type_liquidity,,l10n_br_coa_ans_chart_template
account_template_ans_121419011,121419011,Aplicações de liquidez imediata,,account.data_account_type_liquidity,,l10n_br_coa_ans_chart_template
account_template_ans_122119011,122119011,Valor Original,,,,l10n_br_coa_ans_chart_template
account_template_ans_122119012,122119012,Ajuste ao Valor de Mercado,,,,l10n_br_coa_ans_chart_template
account_template_ans_122119021,122119021,Valor Original,,,,l10n_br_coa_ans_chart_template
account_template_ans_122119022,122119022,Ajuste ao Valor de Mercado,,,,l10n_br_coa_ans_chart_template
account_template_ans_122119081,122119081,Valor Original,,,,l10n_br_coa_ans_chart_template
account_template_ans_122119082,122119082,Ajuste ao Valor de Mercado,,,,l10n_br_coa_ans_chart_template
account_template_ans_122119099,122119099,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Privados,,,,l10n_br_coa_ans_chart_template
account_template_ans_122129011,122129011,Valor Original,,,,l10n_br_coa_ans_chart_template
account_template_ans_122129012,122129012,Ajuste ao Valor de Mercado,,,,l10n_br_coa_ans_chart_template
account_template_ans_122129021,122129021,Valor Original,,,,l10n_br_coa_ans_chart_template
account_template_ans_122129022,122129022,Ajuste ao Valor de Mercado,,,,l10n_br_coa_ans_chart_template
account_template_ans_122129081,122129081,Valor Original,,,,l10n_br_coa_ans_chart_template
account_template_ans_122129082,122129082,Ajuste ao Valor de Mercado,,,,l10n_br_coa_ans_chart_template
account_template_ans_122129099,122129099,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Públicos,,,,l10n_br_coa_ans_chart_template
account_template_ans_122139011,122139011,Valor Original,,,,l10n_br_coa_ans_chart_template
account_template_ans_122139012,122139012,Ajuste ao Valor de Mercado,,,,l10n_br_coa_ans_chart_template
account_template_ans_122139021,122139021,Valor Original,,,,l10n_br_coa_ans_chart_template
account_template_ans_122139022,122139022,Ajuste ao Valor de Mercado,,,,l10n_br_coa_ans_chart_template
account_template_ans_122139081,122139081,Valor Original,,,,l10n_br_coa_ans_chart_template
account_template_ans_122139082,122139082,Ajuste ao Valor de Mercado,,,,l10n_br_coa_ans_chart_template
account_template_ans_122139099,122139099,(-) Provisão para Desvalorização de Títulos de Renda Variável,,,,l10n_br_coa_ans_chart_template
account_template_ans_122189081,122189081,Valor Original,,,,l10n_br_coa_ans_chart_template
account_template_ans_122189082,122189082,Ajuste ao Valor de Mercado,,,,l10n_br_coa_ans_chart_template
account_template_ans_122189099,122189099,(-) Provisão para Desvalorização de Outras Aplicações,,,,l10n_br_coa_ans_chart_template
account_template_ans_122219011,122219011,Valor Original,,,,l10n_br_coa_ans_chart_template
account_template_ans_122219012,122219012,Ajuste ao Valor de Mercado,,,,l10n_br_coa_ans_chart_template
account_template_ans_122219021,122219021,Valor Original,,,,l10n_br_coa_ans_chart_template
account_template_ans_122219022,122219022,Ajuste ao Valor de Mercado,,,,l10n_br_coa_ans_chart_template
account_template_ans_122219081,122219081,Valor Original,,,,l10n_br_coa_ans_chart_template
